name,status,headquarter,industry
Grab,pending,"Midview City, Central Region, Singapore","Internet, Mobile, Ride Sharing, Transportation, Travel"
"Merck & Co., Inc.",pending,"Whitehouse Station, New Jersey, United States","Biotechnology, Health Care, Medical"
Mighty,pending,"New York, New York, United States","FinTech, Legal, SaaS"
Swiggy,signed_up,"Bangalore, Karnataka, India","Food Delivery, Food Processing, Internet"
Virginia Tech,pending,"Blacksburg, Virginia, United States","EdTech, Education, Higher Education, Information Technology"
Ericsson,approved,"Stockholm, Stockholms Lan, Sweden","Internet of Things, Mobile, Public Relations, Telecommunications"
Outdoor Voices,signed_up,"Austin, Texas, United States","E-Commerce, Fitness, Retail"
23andMe,rejected,"Mountain View, California, United States","Biotechnology, Consumer, Genetics"
Wecash,rejected,"China, Asia","Big Data, Finance, Financial Services, FinTech"
Zscaler,signed_up,"San Jose, California, United States","Cloud Security, Cyber Security, Enterprise Software, Security"
Flatiron Health,rejected,"New York, New York, United States","Cloud Computing, Health Care, Software"
Super League Gaming,approved,"Santa Monica, California, United States","eSports, Video Games"
Q4,rejected,"Toronto, Ontario, Canada","Business Intelligence, Mobile, Social Media, Stock Exchanges"
HQTrivia,live,"New York, New York, United States","Apps, Gaming, iOS"
Lenovo,approved,"Morrisville, North Carolina, United States","Computer, Electronics, Hardware, Manufacturing, Mobile"
Alibaba,live,"Hangzhou, Zhejiang, China","B2B, E-Commerce, Internet, Marketplace, Shopping"
HubSpot,pending,"Cambridge, Massachusetts, United States","Analytics, Information Technology, Marketing, Social Media"
Bitmain,live,"Beijing, Beijing, China","Bitcoin, Electronics, Manufacturing"
Taboola,rejected,"New York, New York, United States","Advertising, Content, Content Discovery, Video"
Sonos,rejected,"Santa Barbara, California, United States","Consumer Electronics, Hardware, iOS, Music, Software, Wireless"
Moovit,live,"Ness Ziona, HaMerkaz, Israel","Crowdsourcing, Navigation, Public Transportation, Transportation"
Kakao,live,"Jeju, Cheju-do, South Korea","Apps, Information Services, Information Technology, Internet, Messaging, Mobile, Software"
Xiaomi,pending,"Beijing, Beijing, China","Consumer Electronics, Internet, Mobile"
Zomato,signed_up,"Gurgaon, Haryana, India","Food Delivery, Hospitality, Reservations, Restaurants, Search Engine"
Novartis,pending,"Basel, Basel-Stadt, Switzerland",Biotechnology
SoundCloud,live,"Berlin, Germany, Europe","Apps, Independent Music, Music"
Cloudian,approved,"San Mateo, California, United States","Cloud Infrastructure, Data Storage, Software"
Wealthsimple,approved,"Toronto, Ontario, Canada","Finance, Financial Services, Impact Investing"
Tesla,pending,"Palo Alto, California, United States","Automotive, Electronics, Innovation Management"
Kensho,approved,"Cambridge, Massachusetts, United States","Analytics, Cloud Data Services, Machine Learning, Software"
Ripple,pending,"San Francisco, California, United States","Blockchain, Cryptocurrency, Financial Services, FinTech, Internet, Payments"
Postmates,pending,"San Francisco, California, United States","Delivery, Food Delivery, Logistics, Same Day Delivery, Transportation"
Groupon,rejected,"Chicago, Illinois, United States","Advertising, Internet, Retail, Social Media"
HNA Group,signed_up,"Haikou, Hainan, China","Aerospace, Finance, Travel"
Atlassian,rejected,"Sydney, New South Wales, Australia","Collaboration, Developer Tools, Enterprise Software"
Airtable,live,"San Francisco, California, United States","Database, Mobile, Mobile Apps, Software"
GrubHub,rejected,"Chicago, Illinois, United States","Food Delivery, Hospitality, Restaurants"
Bank of Ireland,pending,"Dublin, Dublin, Ireland",Banking
Urban Ladder,live,"Bangalore, Karnataka, India","E-Commerce, E-Commerce Platforms, Furniture, Home Decor, Internet"
Collective Health,signed_up,"San Francisco, California, United States","Business Intelligence, Health Care, Information Technology, SaaS"
Bugcrowd,approved,"San Francisco, California, United States","Crowdsourcing, Cyber Security, Penetration Testing, Security"
TripActions,pending,"Palo Alto, California, United States","Business Travel, Computer, Software, Travel"
Atom Tickets,pending,"Santa Monica, California, United States","Android, Apps, iOS"
Houzz,rejected,"Palo Alto, California, United States","Architecture, Home Improvement, Home Renovation, Interior Design"
Ant Financial,approved,"Hangzhou, Zhejiang, China","Banking, E-Commerce, Financial Services, FinTech, Payments, Wealth Management"
Farfetch,live,"London, England, United Kingdom","E-Commerce, Fashion, Internet"
"Toys ""R"" Us",pending,"Wayne, New Jersey, United States","Consumer Goods, E-Commerce, Retail, Toys"
Dollar Shave Club,signed_up,"Santa Monica, California, United States","E-Commerce, Internet, Retail"
Netflix,signed_up,"Los Gatos, California, United States","Consumer Electronics, Digital Entertainment, Media and Entertainment, Video, Video Streaming"
GoPro,pending,"San Mateo, California, United States","3D Technology, Consumer Electronics, Hardware, Photography, Software, Video, Wearables"
Skydio,rejected,"Redwood City, California, United States","Aerospace, Drones, Mobile, Navigation, Robotics, Sensor"
solarisBank AG,approved,"Berlin, Berlin, Germany","Banking, Financial Services, Information Technology"
Flipkart,signed_up,"Bangalore, Karnataka, India","E-Commerce, Fashion, Lifestyle, Retail, Shopping"
Alibaba Group,approved,"Hangzhou, Zhejiang, China","Association, Information Technology, Infrastructure"
Giosis,pending,"Singapore, Central Region, Singapore","Brand Marketing, E-Commerce, Marketplace"
Palo Alto Networks,signed_up,"Santa Clara, California, United States","Cyber Security, Network Security, Security"
GOAT,pending,"Culver City, California, United States","E-Commerce, Fashion, Marketplace, Mobile"
App Annie,approved,"San Francisco, California, United States","Analytics, Big Data, Mobile"
Juno Therapeutics,approved,"Seattle, Washington, United States","Biotechnology, Health Care, Therapeutics, Wellness"
Shopify,live,"Ottawa, Ontario, Canada","Analytics, Big Data, Developer Tools, E-Commerce, Enterprise Software, Mobile, SaaS, Web Development"
NestAway,pending,"Bangalore, Karnataka, India","Apps, Consumer, Internet, Marketplace, Real Estate, Rental Property"
Mobike,rejected,"Beijing, China, Asia","Cycling, Mobile Apps, Public Transportation, Ride Sharing, Transportation, Travel"
Cloudflare,live,"San Francisco, California, United States","Ad Server, Advertising, Analytics, Enterprise Software, Security, Web Hosting"
BioCatch,rejected,"Tel Aviv, Tel Aviv, Israel","Cyber Security, FinTech, Fraud Detection, Network Security"
IHS Markit ,live,"London, England, United Kingdom","Analytics, Business Intelligence, Finance, Financial Services, FinTech, Information Services, Information Technology, Management Information Systems"
Razer,signed_up,"Irvine, California, United States","Consumer Electronics, Gaming, iOS, Product Design"
Alteryx ,pending,"Irvine, California, United States","Analytics, Business Intelligence, Data Integration, Predictive Analytics"
BuzzFeed,rejected,"New York, New York, United States","Blogging Platforms, Digital Entertainment, Internet, Journalism, News, Social, Social News, Video"
Qualtrics,pending,"Provo, Utah, United States","Consumer, Market Research, SaaS"
Glassdoor,approved,"Mill Valley, California, United States","Career Planning, Employment, Recruiting, Social Media"
Industrious,rejected,"Brooklyn, New York, United States","Communities, Construction, Coworking, Hospitality, Interior Design, Internet"
Penny,live,"San Francisco, California, United States","Finance, Financial Services, Mobile"
Visa,rejected,"San Francisco, California, United States","Financial Services, Internet, Payments"
Atomwise,pending,"San Francisco, California, United States","Health Care, Machine Learning, Medical"
Skype,rejected,"Esch-sur-alzette, Luxembourg, Luxembourg","Mobile, Software, Telecommunications, Video Chat"
Index,live,"San Francisco, California, United States","Enterprise Software, Personalization, Retail, Retail Technology"
Family Pet,live,"Nassau, New York, United States","Knowledge Management, Pet, Service Industry"
Symantec,live,"Mountain View, California, United States","Computer, Cyber Security, Information Technology, Security"
WHOOP,signed_up,"Boston, Massachusetts, United States","Fitness, Industrial, Sports, Wellness"
Blockchain,live,"London, England, United Kingdom","Bitcoin, Blockchain, Finance, FinTech, Web Development"
BigBasket,approved,"Bangalore, Karnataka, India","Delivery Service, E-Commerce, Retail, Shopping"
NigerianNation,pending,"Port Harcourt, Rivers, Nigeria","E-Commerce, Marketplace, Real Estate, Shopping"
Uphold,approved,"San Francisco, California, United States","Android, Apps, Cryptocurrency, Financial Services, FinTech, iOS, Mobile Payments, Payments, Transaction Processing"
Skyroam,signed_up,"San Francisco, California, United States","Internet, Mobile, Wireless"
HackerRank,signed_up,"Palo Alto, California, United States","Employment, Recruiting, Skill Assessment"
The Infatuation,approved,"New York, New York, United States","Apps, Digital Media, Mobile, Restaurants"
Thread,approved,"London, England, United Kingdom","E-Commerce, Fashion, Internet, Machine Learning"
Magic Leap,pending,"Plantation, Florida, United States","Augmented Reality, Consumer Electronics, Software, Video, Wearables"
Airbnb,pending,"San Francisco, California, United States","Hospitality, Marketplace, Sharing Economy, Travel, Travel Accommodations"
Centene Corporation,signed_up,"St Louis, Missouri, United States","Enterprise, Health Care, Hospital"
Helix,approved,"San Carlos, California, United States","Big Data, Biotechnology, Genetics, Health Care, Personal Health, Wellness"
Idea Cellular,pending,"Mumbai, Maharashtra, India","Mobile Devices, Telecommunications, Wireless"
JD Finance,rejected,"Chaoyang, Liaoning, China","B2C, Internet, Retail"
SparkCognition,rejected,"Austin, Texas, United States","Analytics, Cyber Security, Machine Learning, Software"
Verizon Communications,live,"New York, New York, United States","Communications Infrastructure, Information Technology, Mobile, Telecommunications"
Vice Media,approved,"Brooklyn, New York, United States","News, Publishing, Video, Video Streaming"
CenturyLink,signed_up,"Monroe, Louisiana, United States","Big Data, Telecommunications, VoIP"
Grove Collaborative,pending,"San Francisco, California, United States","Consumer Goods, E-Commerce, Internet, Retail, Sustainability"
Stitch Fix,live,"San Francisco, California, United States","E-Commerce, Fashion, Retail"
Gousto,rejected,"London, England, United Kingdom","E-Commerce, Food and Beverage, Food Processing, Web Apps"
Final,signed_up,"Oakland, California, United States","Billing, Credit Cards, FinTech, Fraud Detection, Mobile Payments, Payments, Personal Finance, Security"
Facebook,pending,"Menlo Park, California, United States","Social, Social Media, Social Network"
Impossible Foods,pending,"Redwood City, California, United States","Food and Beverage, Food Processing, Nutrition"
Virgin Hyperloop One,signed_up,"Los Angeles, California, United States","Industrial Engineering, Manufacturing, Transportation, Travel"
Yes Bank,rejected,"Mumbai, Maharashtra, India","Banking, Finance, Wealth Management"
General Motors,approved,"Detroit, Michigan, United States","Automotive, Enterprise Software, Manufacturing, Transportation"
Redfin,rejected,"Seattle, Washington, United States","Internet, Property Management, Real Estate"
RapidAPI,rejected,"San Francisco, California, United States","Apps, Cloud Computing, Real Time"
Splunk,rejected,"San Francisco, California, United States","Information Technology, Intelligent Systems, Software"
Xerox,pending,"Norwalk, Connecticut, United States","Hardware, Information Technology, Software"
Cofense,live,"Leesburg, Virginia, United States","Cyber Security, Enterprise Software, Security"
MobiKwik,pending,"Gurgaon, Haryana, India","Internet, Mobile, Mobile Payments, Payments, Telecommunications"
Next Issue Media,rejected,"Palo Alto, California, United States","Digital Media, News, Publishing"
Algolia,approved,"San Francisco, California, United States","Big Data, Cloud Computing, Enterprise Software, SaaS, Search Engine, Software"
OpenText Corporation,approved,"Waterloo, Ontario, Canada","Information Services, Information Technology, Software"
Siri,live,"San Jose, California, United States","Consumer Electronics, iOS, Software, Virtualization"
FourKites,signed_up,"Chicago, Illinois, United States","Enterprise Software, Logistics, Supply Chain Management"
Vectra Networks,live,"San Jose, California, United States","Cyber Security, Network Security, Security"
AutoGravity,signed_up,"Irvine, California, United States","Automotive, Finance, Mobile"
LiveRamp,live,"San Francisco, California, United States","Advertising, Advertising Platforms, Brand Marketing, Data Integration"
Coursera,pending,"Mountain View, California, United States","EdTech, Education, Enterprise, Internet"
SIGFOX,approved,"Labège, Midi-Pyrenees, France","Internet of Things, Telecommunications, Wireless"
Alta Motors,signed_up,"Brisbane, California, United States","Automotive, Electric Vehicle, Manufacturing"
RedDoorz,pending,"Singapore, Central Region, Singapore","Business Travel, Hospitality, Travel Accommodations, Travel Agency"
Acorns,live,"Irvine, California, United States","Apps, Finance, Financial Services, FinTech, Mobile, Wealth Management"
eMarketer,approved,"New York, New York, United States","Advertising, Business Intelligence, E-Commerce, Market Research, Mobile, Social Media"
Zillow,signed_up,"Seattle, Washington, United States","Marketplace, Online Portals, Real Estate"
Brazil Plus,signed_up,"Brazil, Saint George, Trinidad and Tobago",Financial Services
ServiceNow,live,"Santa Clara, California, United States","Cloud Management, Enterprise Applications, Enterprise Software, IT Management, PaaS, SaaS"
Coinbase,live,"San Francisco, California, United States","Bitcoin, Blockchain, Cryptocurrency, E-Commerce, Ethereum, FinTech, Personal Finance, Virtual Currency"
Miso Robotics,pending,"Pasadena, California, United States","Artificial Intelligence, Consumer Electronics, Food and Beverage, Industrial Automation, Robotics, Smart Home"
Tesco,live,"Cheshunt, Herefordshire, United Kingdom","Food and Beverage, Food Delivery, Shopping"
Cloudera,live,"Palo Alto, California, United States","Analytics, Big Data, Cloud Computing, Cloud Data Services, Cloud Infrastructure, Cloud Management, Enterprise Software, Machine Learning, Open Source"
Complex,pending,"New York, New York, United States","Lifestyle, Printing, Publishing"
Genesys,approved,"Daly City, California, United States","Business Intelligence, Cloud Infrastructure, Contact Management, CRM, Customer Service, Software, Text Analytics"
Singapore Post,pending,"Singapore, Central Region, Singapore","E-Commerce, Freight Service, Logistics, Retail, Supply Chain Management"
Capillary Technologies,approved,"Singapore, Central Region, Singapore","Analytics, Enterprise Software, Retail"
Greenlight Financial Technology,approved,"Atlanta, Georgia, United States","Debit Cards, Mobile Apps, Mobile Payments, Payments"
FireEye,live,"Milpitas, California, United States","Internet, Network Security, Security, Web Development"
Snowflake Computing,rejected,"San Mateo, California, United States","Analytics, Cloud Data Services, SaaS"
Yelp,live,"San Francisco, California, United States","Apps, Customer Service, Internet, Mobile, Search Engine"
IFTTT,live,"San Francisco, California, United States","Information Services, Information Technology, Internet"
Lockheed Martin,rejected,"Bethesda, Maryland, United States","Cyber Security, National Security, Security"
Tronc,approved,"Chicago, Illinois, United States","Digital Media, Journalism, Publishing"
Just Eat,approved,"London, England, United Kingdom","E-Commerce, Food and Beverage, Food Delivery, Internet"
Zum,live,"Redwood City, California, United States","Apps, Child Care, Children, Family, Mobile, Mobile Apps, Parenting, Ride Sharing, Transportation"
UJET,pending,"San Francisco, California, United States","Communications Infrastructure, Customer Service, Developer Platform, Enterprise Software, Marketing, Software"
Practice,approved,"Philadelphia, Pennsylvania, United States","Corporate Training, E-Learning, EdTech, Education, Human Resources, Management Consulting, SaaS, Skill Assessment"
NPR,signed_up,"Washington, District of Columbia, United States","Broadcasting, Digital Media, News"
CyberX,live,"Framingham, Massachusetts, United States","Cyber Security, Industrial, Network Security, Security"
Truecaller,approved,"Stockholm, Stockholms Lan, Sweden","Apps, Contact Management, Search Engine"
Zendesk,pending,"San Francisco, California, United States","Customer Service, Enterprise Software, SaaS"
Hubble Contacts,rejected,"New York, New York, United States","Consumer Goods, E-Commerce, Eyewear"
Degreed,rejected,"San Francisco, California, United States","Corporate Training, EdTech, Education, Internet, SaaS"
TurnKey Vacation Rentals,live,"Austin, Texas, United States","Leisure, Tourism, Travel, Vacation Rental"
comScore,live,"Reston, Virginia, United States","Consumer, Test and Measurement"
Marvel,signed_up,"London, England, United Kingdom","Apps, Cloud Storage, Mobile, Photography, Sales"
Infor,signed_up,"New York, New York, United States","Enterprise Software, Information Technology, Software"
Pinterest,live,"San Francisco, California, United States","Social Bookmarking, Social Media, Travel"
Hyperloop Transportation Technologies,live,"California, United States, North America","Public Transportation, Transportation, Travel"
PharmEasy,live,"Mumbai, Maharashtra, India",Health Care
Duolingo,approved,"Pittsburgh, Pennsylvania, United States","E-Learning, Education, Internet, Language Learning"
HomeAway,live,"Austin, Texas, United States","Advertising, Tourism, Travel"
Fishbrain,signed_up,"Stockholm, Stockholms Lan, Sweden","Analytics, Big Data, Leisure, Social Media, Social Network, Sports"
Sun Basket,live,"San Francisco, California, United States","Cooking, Delivery, E-Commerce, Organic Food"
Marketo,signed_up,"San Mateo, California, United States","Ad Targeting, Analytics, Brand Marketing, Enterprise Software, Lead Management, Marketing Automation"
Crunchbase,live,"San Francisco, California, United States","Analytics, Big Data, Business Intelligence, Communities, Venture Capital"
Malwarebytes,rejected,"Santa Clara, California, United States","Computer, Enterprise Software, Security, Software"
News Corp.,live,"New York, New York, United States","Education, Information Services, Internet, News, Publishing"
Vettery,live,"New York, New York, United States","Internet, Recruiting, Software"
CloudCraze LLC,pending,"Chicago, Illinois, United States","B2B, Cloud Infrastructure, CRM, E-Commerce, Information Technology, SaaS"
Upwork,rejected,"Mountain View, California, United States","Enterprise Software, Freelance, Marketplace"
OneWeb,live,"Arlington, Virginia, United States","Aerospace, Database, Internet, Satellite Communication"
Equifax,rejected,"Atlanta, Georgia, United States","Banking, Consulting, Finance"
BLADE,signed_up,"New York, New York, United States","Aerospace, Crowdsourcing, Travel"
"Moogsoft, Inc.",signed_up,"San Francisco, California, United States","Analytics, Enterprise Software, IT Infrastructure, IT Management, Machine Learning"
90 Seconds,approved,"Singapore, Central Region, Singapore","Brand Marketing, Marketplace, Video"
Furlenco,pending,"Bangalore, Karnataka, India","Consumer, Furniture, Home Decor, Home Improvement"
AppNexus,live,"New York, New York, United States","Advertising, Internet, Service Industry"
Oscar Health,rejected,"New York, New York, United States","Health Care, Information Technology, Insurance"
Canva,approved,"Sydney, New South Wales, Australia","Graphic Design, Photo Editing, Web Apps, Web Design"
Reflektive,rejected,"San Francisco, California, United States","Analytics, Human Resources, SaaS"
KKR & Co. (Kohlberg Kravis Roberts & Co.),live,"New York, New York, United States","Finance, Financial Services, Venture Capital"
Everything But The House (EBTH),pending,"Cincinnati, Ohio, United States","E-Commerce, Internet, Online Auctions, Real Estate"
Goop Inc.,pending,"Los Angeles, California, United States","Beauty, Content, E-Commerce, Fashion, Health Care, Travel, Wellness"
Funding Circle,pending,"London, England, United Kingdom","Finance, Financial Services, FinTech, Personal Finance"
Womply,approved,"San Francisco, California, United States","Analytics, Big Data, Business Intelligence, Credit Cards, CRM, Payments, Small and Medium Businesses"
Mad Paws,rejected,"Sydney, New South Wales, Australia","Internet, Marketplace, Pet"
Airspace Systems Inc.,rejected,"San Francisco, California, United States","Artificial Intelligence, Computer Vision, Drones, Machine Learning, Robotics"
Grabr,approved,"San Francisco, California, United States","Delivery, E-Commerce, Peer to Peer, Travel"
Trulia,pending,"San Francisco, California, United States","Internet, Mobile Apps, Real Estate, Rental"
Starsky Robotics,approved,"San Francisco, California, United States","Autonomous Vehicles, Robotics, Transportation"
LeEco,approved,"Beijing, Beijing, China","Consumer Electronics, Internet, Video"
Via,live,"New York, New York, United States","Mobile Apps, Real Time, Ride Sharing, Transportation, Travel"
Eurazeo,signed_up,"Paris, Ile-de-France, France","Finance, Financial Services, FinTech"
Arcus Biosciences,rejected,"Hayward, California, United States","Biotechnology, Health Care, Medical"
Medesk,rejected,"London, England, United Kingdom","Health Care, Information Technology, mHealth"
Snyk,approved,"London, England, United Kingdom","Developer Tools, Network Security, Security"
Indigo Fair,rejected,"San Francisco, California, United States","E-Commerce, Marketplace, Retail, Retail Technology"
Lendingkart,approved,"Ahmedabad, Gujarat, India","Financial Services, FinTech"
500px,rejected,"Toronto, Ontario, Canada","Apps, Communities, Content, Internet, Marketplace, Photography"
HackerOne,signed_up,"San Francisco, California, United States","Computer, Internet, Network Security"
DataVisor,live,"Mountain View, California, United States","Analytics, Big Data, Cyber Security, Fraud Detection"
Atom Bank,live,"Durham, Durham, United Kingdom","Banking, FinTech, Mobile Apps"
Macquarie Group,rejected,"Sydney, New South Wales, Australia","Banking, Finance, Financial Services"
eBay,rejected,"San Jose, California, United States","Auctions, E-Commerce, Search Engine"
KIXEYE,live,"San Francisco, California, United States","Developer Platform, PC Games, Video Games"
Fiverr.com,signed_up,"Tel Aviv, Tel Aviv, Israel","Collaborative Consumption, Outsourcing, Task Management"
Celularity,signed_up,"Warren, New Jersey, United States","Biotechnology, Health Care, Wellness"
OrCam Technologies,pending,"Jerusalem, Yerushalayim, Israel","Fitness, Health Care, Medical Device, Wearables"
MuleSoft,pending,"San Francisco, California, United States","Apps, Developer APIs, Enterprise Software, FinTech"
Tandem,signed_up,"London, England, United Kingdom","Banking, Finance, Financial Services, FinTech"
Kabbage,approved,"Atlanta, Georgia, United States","Credit, Finance, FinTech, Lending"
Cushman & Wakefield,signed_up,"New York, New York, United States","Commercial Real Estate, Industrial, Legal, Real Estate"
Car2Go,signed_up,"Austin, Texas, United States","Car Sharing, Transportation, Travel, Travel Agency"
Douyu TV,approved,"Wuhan, Hubei, China","Media and Entertainment, Online Games, Video Games"
Fitbit,rejected,"San Francisco, California, United States","Cloud Computing, Fitness, Health Care, Personal Health, Wearables"
iHeartMedia,pending,"San Antonio, Texas, United States","Advertising Platforms, Broadcasting, Outdoor Advertising"
Kahoot!,live,"Oslo, Oslo, Norway","B2B, EdTech, Education, Gaming, Internet, Mobile, Software"
PrecisionHawk,rejected,"Raleigh, North Carolina, United States","Aerospace, Artificial Intelligence, Autonomous Vehicles, Robotics"
Spaceflight Industries,pending,"Seattle, Washington, United States","Aerospace, Apps, Service Industry"
Fair,live,"Santa Monica, California, United States","Automotive, Financial Services, FinTech"
Carsome,approved,"Selangor, Selangor, Malaysia","Automotive, E-Commerce Platforms, Shopping"
Quizlet,live,"San Francisco, California, United States","EdTech, Education, Internet, Knowledge Management"
Wefarm,rejected,"London, England, United Kingdom","Agriculture, AgTech, Crowdsourcing, Internet"
FirstEnergy Corp.,live,"Akron, Ohio, United States","Clean Energy, Energy, Energy Efficiency"
Meituan.com,pending,"Beijing, Beijing, China","Consumer, E-Commerce, Group Buying, Internet"
Instagram,pending,"Menlo Park, California, United States","Mobile, Photo Sharing, Photography, Social Media"
The Athletic,approved,"San Francisco, California, United States","Journalism, News, Sports"
Beyond Meat,rejected,"Manhattan Beach, California, United States","Food and Beverage, Food Processing, Health Care"
Lending Club,pending,"San Francisco, California, United States","Consumer Lending, Credit, Finance, FinTech, Lending, Personal Finance"
Looker,approved,"Santa Cruz, California, United States","Analytics, Business Intelligence, Data Visualization, Enterprise Software"
Cognizant Technology Solutions,live,"Teaneck, New Jersey, United States","Consulting, Industrial Automation, Software"
Phantom,signed_up,"Palo Alto, California, United States","Cyber Security, Network Security, Security"
PointClickCare,rejected,"Mississauga, Ontario, Canada","Elder Care, Enterprise Software, SaaS, Web Browsers"
SendGrid,rejected,"Denver, Colorado, United States","Analytics, Business Information Systems, Email, Software"
May Mobility,pending,"Ann Arbor, Michigan, United States","Automotive, Autonomous Vehicles, Transportation, Travel"
CyberArk Software,signed_up,"Newton, Massachusetts, United States","Cloud Security, Cyber Security, Security"
Blue Vision Labs,approved,"London, England, United Kingdom","Augmented Reality, Information Technology, Robotics"
Wish,approved,"San Francisco, California, United States","Computer, Content Discovery, E-Commerce, Machine Learning, Mobile, Software"
Mitsubishi Motors,rejected,"Tokyo, Tokyo, Japan",Automotive
Grow,signed_up,"Orem, Utah, United States","Analytics, Business Intelligence, SaaS, Software"
IdentityMind Global,signed_up,"Palo Alto, California, United States","Analytics, Compliance, FinTech, Fraud Detection, Identity Management, Risk Management"
Tencent Holdings,pending,"Shenzhen, Guangdong, China","Advertising, Internet, Mobile, Online Games, Social Media Marketing"
PhonePe,live,"Bangalore, Karnataka, India","Internet, Mobile Payments"
Starcity,pending,"San Francisco, California, United States","Hospitality, Real Estate, Software"
OYO,signed_up,"Gurgaon, Haryana, India","Hospitality, Hotel, Leisure, Travel"
Evident.io,pending,"Pleasanton, California, United States","Cloud Security, Developer Tools, Security"
Criteo,approved,"Paris, Ile-de-France, France","Advertising, E-Commerce, Internet, Marketing"
JW Player,live,"New York, New York, United States","Advertising, Publishing, Software, Video, Video Streaming, Web Development"
Honeywell International,signed_up,"Morristown, New Jersey, United States","Electronics, Information Technology, Innovation Management, Manufacturing, Software"
Citymapper,rejected,"London, England, United Kingdom","Apps, Internet, Transportation, Travel"
Anheuser-Busch InBev,rejected,"New York, New York, United States",Hospitality
Streetbees,pending,"London, England, United Kingdom",""
eToro,signed_up,"London, England, United Kingdom","Finance, Financial Services, FinTech, Trading Platform"
Goldman Sachs,approved,"New York, New York, United States","Banking, Finance, Financial Services, Security, Venture Capital"
Ele.me,pending,"Shanghai, Shanghai, China","E-Commerce, Food Delivery, Service Industry"
Ford Motor Company,live,"Dearborn, Michigan, United States","Automotive, Manufacturing, Transportation"
Qihoo 360 Technology,live,"Beijing, Beijing, China","Internet, Mobile"
Hootsuite,signed_up,"Vancouver, British Columbia, Canada","Advertising, Apps, Brand Marketing, Messaging, Social Media"
Shazam,approved,"London, England, United Kingdom","Android, Ediscovery, iOS, Music"
Cardlytics,pending,"Atlanta, Georgia, United States","Advertising, Banking, Financial Services, Mobile"
The Skimm,signed_up,"New York, New York, United States","Fashion, News, Publishing"
Venmo,rejected,"New York, New York, United States","Finance, Mobile, Payments"
Carbon Black,pending,"Waltham, Massachusetts, United States","Cloud Computing, Homeland Security, Physical Security, Security"
Directly,signed_up,"San Francisco, California, United States","Artificial Intelligence, Customer Service, Machine Learning, Marketplace"
